Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU180285	1.20430099766636	1.231	1.12423975473504	1.124	0.121	0.724	<2e-16	0.297345291479821	0.940313225058005	NA	0.002	0.776
OTU192225	0.181514851660368	0.31	0.164472927584165	0.164	0.594	0.0433	0.00506	0.799783783783784	0.602843137254902	0.00582488372093023	0.015	0.175
OTU184440	0.249746337307642	0.514	0.28698495533589	0.287	0.313	0.322	<2e-16	0.545386327503975	0.852310588235294	NA	0.003	0.652
OTU192228	0.475176106619282	0.789	0.573090624908465	0.573	0.0639	0.191	<2e-16	0.196174789915966	0.738885813148789	NA	0.005	0.769
OTU180572	1.17511187307067	1.097	1.17644457317932	1.176	0.911	0.0413	<2e-16	0.95729242569511	0.602843137254902	NA	0.005	0.701
OTU165346	0.326963188152126	0.525	0.278087153145894	0.278	0.133	0.519	<2e-16	0.316886956521739	0.896819165378671	NA	0.004	0.648
OTU177109	0.593165453848132	0.881	0.502431674485527	0.502	0.134	0.661	<2e-16	0.317887445887446	0.921740920096852	NA	0.003	0.735
OTU181155	0.632934661341774	0.666	0.572835294371944	0.573	0.334	0.806	<2e-16	0.571082683307332	0.96169477054429	NA	0.002	0.559
OTU210095	0.268272150427512	0.409	0.169683202162003	0.17	0.0283	0.608	0.00944	0.110774285714286	0.906325333333333	0.0106502564102564	0.018	0.164
OTU163243	0.630069008684259	1.122	0.619775282102722	0.62	0.949	0.0985	<2e-16	0.976623474178404	0.62216384180791	NA	0.003	0.75
OTU1076557	2.01686982722585	0.968	1.51795473395904	1.518	1.98e-08	0.201	<2e-16	6.05844444444444e-07	0.741643564356436	NA	0.062	0.597
OTU179623	0.591259470533159	0.839	0.53116431964331	0.531	0.371	0.458	<2e-16	0.612373493975904	0.87244925124792	NA	0.002	0.68
OTU4338624	0.364277090282037	0.858	0.504946442041232	0.505	0.0425	0.464	<2e-16	0.147405063291139	0.87244925124792	NA	0.007	0.669
OTU495394	0.116826731761494	0.315	0.759822063954837	0.76	1.36e-12	0.975	1.76e-06	9.93706666666667e-11	0.995907942238267	3.15366515837104e-06	0.15	0.392
OTU289875	0.186747129671041	0.3	0.211992048454034	0.212	0.448	0.644	0.000682	0.691560563380282	0.920705882352941	0.00087971335504886	0.003	0.2
OTU147195	0.389342849035327	0.652	0.375145710239105	0.375	0.735	0.0146	<2e-16	0.877275488069414	0.602843137254902	NA	0.011	0.588
OTU363844	1.12180945616571	0.803	0.777707571639405	0.778	3.27e-06	0.375	1.17e-11	5.9732e-05	0.8643	5.38744186046512e-11	0.056	0.446
OTU175741	0.434112745485897	0.674	0.464780960570205	0.465	0.467	0.354	<2e-16	0.709891816920943	0.862248366013072	NA	0.001	0.745
OTU178712	0.485452804818481	0.781	0.421312434948589	0.421	0.345	0.483	<2e-16	0.582619414483821	0.880903752039152	NA	0.003	0.567
OTU849723	0.520457498004068	0.68	0.652699113851217	0.653	0.08	0.679	<2e-16	0.230131233595801	0.921740920096852	NA	0.007	0.505
OTU298942	0.219395249390045	0.374	0.166762114529552	0.167	0.196	0.0802	0.0108	0.410738049713193	0.62216384180791	0.01215	0.017	0.161
OTU183145	0.537029679067656	0.818	0.466050467307605	0.466	0.277	0.468	<2e-16	0.505986666666667	0.87244925124792	NA	0.003	0.646
OTU197890	0.305677242365735	0.496	0.205157385453079	0.205	0.0525	0.805	0.0016	0.173313253012048	0.961527777777778	0.00194355828220859	0.013	0.194
OTU304757	0.380466132534752	0.738	0.329217368914463	0.329	0.476	0.894	<2e-16	0.711880920162382	0.977976516634051	NA	0.001	0.681
OTU4388820	0.38325959286846	0.726	0.797227403429647	0.797	1.16e-06	0.194	9.74e-14	2.23045614035088e-05	0.739080536912752	8.96986046511628e-13	0.059	0.483
OTU367176	0.918307798093256	0.79	0.740433332996191	0.74	0.0117	0.673	<2e-16	0.0548	0.921740920096852	NA	0.012	0.558
OTU2714942	0.717041126809483	0.841	0.687308680948827	0.687	0.741	0.765	3.98e-16	0.877984864864865	0.952416481069042	3.58776e-14	0	0.493
OTU549635	0.34554847195367	0.739	0.291626487520349	0.292	0.48	0.242	<2e-16	0.711880920162382	0.774977272727273	NA	0.003	0.587
OTU175535	0.241553234689339	0.409	0.243943907091818	0.244	0.858	0.901	4.71e-12	0.932904761904762	0.980549854791868	2.52048648648649e-11	0	0.419
OTU175241	1.63949230899589	0.888	1.86202090550557	1.862	0.00594	0.191	<2e-16	0.0322289108910891	0.738885813148789	NA	0.019	0.534
OTU179297	0.428352728319562	0.731	0.444720096836201	0.445	0.7	0.0768	<2e-16	0.856783964365256	0.62216384180791	NA	0.004	0.736
OTU364736	0.883438267667653	0.955	0.979551131559976	0.98	0.267	0.349	<2e-16	0.495147208121827	0.861689956331878	NA	0.002	0.732
OTU196787	0.174653028222148	0.336	0.163506097436422	0.164	0.782	0.516	3.09e-05	0.892994797086368	0.8944	4.70630769230769e-05	0.002	0.247
OTU316201	1.37369249122992	0.554	1.34373640408022	1.344	0.583	0.95	6.06e-10	0.79449814126394	0.989841565703635	1.818e-09	0.001	0.373
OTU183603	1.0730913918932	1.125	1.28210965404025	1.282	0.0658	0.141	<2e-16	0.200882451253482	0.695943775100402	NA	0.009	0.62
OTU149909	0.38037601226401	0.765	0.392993780357288	0.393	0.938	0.287	<2e-16	0.970772426817752	0.810267676767677	NA	0.001	0.8
OTU209760	0.243161081456607	0.472	0.340556327434838	0.341	0.0125	0.939	<2e-16	0.0578059071729958	0.985729577464789	NA	0.009	0.658
OTU505626	0.0291645893964445	0.298	0.691388452382841	0.691	2.95e-14	0.282	0.285	4.61885714285714e-12	0.806332480818414	0.29012853470437	0.216	0.262
OTU318079	0.159365542452448	0.32	0.209911252308112	0.21	0.133	0.0837	<2e-16	0.316886956521739	0.62216384180791	NA	0.01	0.553
OTU185730	0.9148287795529	1.262	0.973529081041233	0.974	0.962	0.68	<2e-16	0.986297474275023	0.921740920096852	NA	0	0.839
OTU809643	0.397572404347968	0.604	0.459056915631378	0.459	0.379	0.464	7.3e-05	0.616296735905045	0.87244925124792	0.000105503649635037	0.004	0.237
