Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Syntrophomonas	0.385091637448548	0.375273247750117	0.873364100361158	0.277574763492473	4.08273021746557e-24	0.894665663784601	0.942512218162511	1.63309208698623e-23
Streptococcus	2.75610654217732	2.81734513207968	0.304054536047182	0.960411350180897	3.65730793397896e-12	0.454918317619388	0.976688707624044	8.77753904154951e-12
Unclassified	4.59617737069589	4.54276791532962	0.00220508448144188	0.957390036817899	4.14174563206605e-10	0.00661525344432564	0.976688707624044	7.90696893394428e-10
Slackia	0.593847207320611	0.515001163271538	0.19457222316309	0.429037237865243	5.29877316442465e-35	0.320471896974501	0.944792645168123	8.90193891623342e-34
Blattabacterium	0.545484295589389	0.487416861545628	0.348062972602634	0.0920568733939634	8.62589585583601e-15	0.479299831124939	0.706673465180189	2.41525083963408e-14
Fusobacterium	0.171852519676393	0.730237519574572	3.09814976100485e-11	0.543598976935731	0.000911282178888756	2.1687048327034e-10	0.944792645168123	0.00115981368222205
Ethanoligenens	2.40484164707612	2.49136204739913	0.146826686542061	0.455545772621906	1.82253394526482e-09	0.256946701448607	0.944792645168123	3.18943440421343e-09
Corynebacterium	0.319539876571151	1.55425142726525	2.85702382651024e-27	0.976688707624044	0.00197258210930582	5.9997500356715e-26	0.976688707624044	0.00240140430698099
Marinitoga	0.347273971709828	0.371380874114031	0.724133006964335	0.815434064260724	4.19822567892991e-15	0.78045475638309	0.976688707624044	1.21603778286246e-14
Haliscomenobacter	0.379766681369798	0.350522179741846	0.575636271187211	0.812720595940795	7.57806075726061e-27	0.671575649718413	0.976688707624044	3.97848189756182e-26
Lactobacillus	1.29794179828436	1.24923757295706	0.570753944950325	0.361474352830001	1.45249359609682e-09	0.671575649718413	0.942512218162511	2.59594600153475e-09
Thermus	0.202888034027639	1.57187548341588	3.10645758055867e-34	0.0878957188348291	0.115914041748721	1.30471218383464e-32	0.706673465180189	0.124830506498622
Bifidobacterium	0.418041774516201	0.247727806935177	0.00151759931829363	0.833013024393643	8.4073456381306e-11	0.0050991337094666	0.976688707624044	1.76554258400743e-10
Selenomonas	0.659287435792505	0.753550841212586	0.241841635677249	0.113743090395118	2.04208483729268e-10	0.376198099942387	0.706673465180189	4.08416967458535e-10
Neisseria	0.235004741093537	0.290267257042629	0.331330863623694	0.219709377552954	9.99709989297817e-11	0.471725297362547	0.942512218162511	2.04818631953699e-10
Akkermansia	1.5448029175026	1.19516111420473	0.00282870339118022	0.340441986132321	3.01068419654466e-15	0.00819348568479788	0.942512218162511	9.03205258963398e-15
Segniliparus	0.0402420337630765	0.686818110467169	4.56443242482338e-14	0.361944654553855	0.171131314563128	5.47731890978805e-13	0.942512218162511	0.179687880291284
Alkaliphilus	0.317477394576734	0.422856284222697	0.0717022443655765	0.935591326520712	1.13248320346847e-05	0.150574713167711	0.976688707624044	1.6987248052027e-05
Peptoclostridium	2.02222639464762	2.14230475732854	0.109060480501363	0.806175151037023	2.36496427701413e-12	0.208206371866238	0.976688707624044	6.01990906876323e-12
Oscillibacter	3.3745367590464	3.39328234748538	0.6510357505485	0.961703622776343	0.000279296908271923	0.739013554676675	0.976688707624044	0.000384605578603959
Fibrobacter	0.95511995192608	0.862729066927008	0.237860370073807	0.0294739779419964	1.36481195907761e-18	0.376198099942387	0.49516282942554	4.40939248317383e-18
Eubacterium	3.71435748934067	3.58709318801551	0.000918567308325633	0.780490933744531	9.08287483570885e-12	0.00335476756084144	0.976688707624044	2.00779338473564e-11
Methylobacterium	0.552994151647525	0.444132246388137	0.0877570143187181	0.339785815073903	9.1934448106818e-10	0.175514028637436	0.942512218162511	1.71610969799394e-09
Ruminiclostridium	1.80418789536512	1.59962653464203	0.0243585993775892	0.793971261111796	5.78320242453958e-25	0.0568367318810415	0.976688707624044	2.42894501830662e-24
Jonesia	1.12819338307104	0.785187069816173	0.000168351648953232	0.895882266484125	0.239299291207312	0.000707076925603573	0.976688707624044	0.248162227918694
Escherichia	0.794267159656546	1.45010409604203	2.24423549364839e-10	0.466041095466968	5.12726234690733e-13	1.45012139589588e-09	0.944792645168123	1.38932270045231e-12
Haemophilus	0.544594290183649	0.513025388645444	0.715336801603373	0.278615779281447	2.03674605240595e-09	0.78045475638309	0.942512218162511	3.49156466126735e-09
Ralstonia	0.547682010596594	0.687115349620382	0.0564470279649501	0.406692958902865	2.6559438240623e-11	0.124777640764627	0.944792645168123	5.72049439028802e-11
Alistipes	3.02278160843026	2.62776008255564	4.81906881495881e-08	0.671624709957247	1.62294875064947e-21	2.69867853637693e-07	0.976688707624044	5.92729108932849e-21
Geobacter	2.33337861994204	2.02919483873792	5.11554171012056e-07	0.548097722107624	3.07378634225704e-12	2.68565939781329e-06	0.944792645168123	7.59406037498798e-12
Caldilinea	0.243347143546335	0.134849230776117	0.0115754338601087	0.548001411584444	0.000237778364696993	0.0277810412642609	0.944792645168123	0.00033288971057579
Propionibacterium	0.213709450003769	0.294739258391732	0.0850141125978165	0.126431383701013	0.000543297247991373	0.174175255078453	0.706673465180189	0.000736080142439924
Desulfotomaculum	1.30536621626967	1.16626453862083	0.0437716160682546	0.449420826697846	2.34482434502219e-09	0.0993733986414428	0.944792645168123	3.93930489963728e-09
Lachnoclostridium	3.20611143014749	3.19883283899309	0.857278078701667	0.00258030271980553	0.000835259352708081	0.889029118653581	0.108372714231832	0.00111367913694411
Coriobacterium	0.572085756151038	0.139677696986009	1.20510256540564e-11	0.312327275071931	0.00311676770238497	9.20260140855213e-11	0.942512218162511	0.00368744347887799
Porphyromonas	0.699484414029582	1.49491230035794	5.6271989657971e-14	0.134604469558131	0.00271008276965529	5.90855891408696e-13	0.706673465180189	0.00325209932358635
Ketogulonicigenium	0.501414656180443	0.571121466445113	0.293332492076277	0.23338033459293	2.34797527150483e-27	0.447998715171041	0.942512218162511	1.79299929824005e-26
Caldicellulosiruptor	0.106561905046208	0.1945895263632	0.00758428160055811	0.91605306269737	0.733532277942874	0.0193054440741479	0.976688707624044	0.751423309112212
Cellulophaga	0.284512871627371	0.272774270326727	0.825435518617793	0.129381442544513	0.00160334253830146	0.866707294548683	0.706673465180189	0.0019805996061371
Mobiluncus	0.19108168341642	0.825041042551297	1.32316091826532e-12	0.789203538065989	0.012518822415494	1.23495019038097e-11	0.976688707624044	0.0142105551743445
Parabacteroides	3.42472709003	3.35206668550784	0.115773559774741	0.885742453683868	4.44301126986193e-33	0.216110644912849	0.976688707624044	6.2202157778067e-32
Coprococcus	3.18297419393926	3.03575002704876	0.00194611433860338	0.314116278513463	4.54518736546579e-29	0.00605457794232164	0.942512218162511	4.24217487443474e-28
Atopobium	0.44302442890151	0.267009866628288	0.00523409728434254	0.0920749910422906	0.000894182626122278	0.0141827152220895	0.706673465180189	0.00115555908606571
Paenibacillus	0.257814951047885	0.224955836977659	0.496717717555078	0.722996898418577	3.90492910779164e-10	0.613592474626861	0.976688707624044	7.62823360591855e-10
Odoribacter	2.24063415031402	2.1930327189497	0.441344552472255	0.551129043014738	3.32443116391687e-25	0.56407430679994	0.944792645168123	1.46974851457377e-24
Staphylococcus	0.245066137286005	0.308527668245822	0.215225888451605	0.68453001101286	0.00455070539520362	0.347672589037208	0.976688707624044	0.00530915629440422
Acinetobacter	0.0655372973027664	0.983742502071734	4.07956583741246e-24	0.406003406172569	0.15680418934909	5.71139217237744e-23	0.944792645168123	0.166728505130678
Variovorax	0.709579600105072	0.702683521591413	0.983773385164682	0.966648267587472	1.52718171739482e-45	0.983773385164682	0.976688707624044	6.41416321305825e-44
Pantoea	0.702499851746204	0.817370931067271	0.103919193193779	0.0971585570457277	1.49585708558835e-06	0.203004935541336	0.706673465180189	2.32688879980411e-06
Dehalococcoides	0.151055914916945	0.142791542221236	0.718786896538695	0.896887192562821	0.00129111947474515	0.78045475638309	0.976688707624044	0.00161871695341183
Modestobacter	0.167132909428709	0.147304425475623	0.541427933517135	0.516389623368796	0.999792219869773	0.649713520220562	0.944792645168123	0.999792219869773
