Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Neisseria	0.294948961509342	0.307	0.239570585023756	0.337	0.163408860667665	0.295	0.175	0.686	0.266	0.717	0.463	0.569	0.180116959064327	1	0.304821621621622	0.756238805970149	0.936061538461538	0.588429268292683	0.028	0.066
Alkaliphilus	0.323090056939695	0.302	0.404473836380586	0.414	0.050066526876103	0.2	2.05e-05	0.46	0.00517	0.00154	0.425	0.00701	4.4e-05	1	0.0135313580246914	0.00485449275362319	0.936061538461538	0.0103202777777778	0.136	0.301
Peptoclostridium	1.67814917755445	0.428	1.66993374647781	0.54	0.109138279236139	0.247	<2e-16	0.996	1.67e-15	1.19e-14	0.221	0.000296	NA	1	3.5404e-14	3.72514285714286e-13	0.936061538461538	0.000689582417582418	0.633	0.757
Oceanimonas	0.117699629920314	0.223	0.239833395076877	0.373	0	0	0.000114	0.0599	0.188	0.00707	0.537	0.0042	0.000206845360824742	0.309726829268293	0.2226	0.0174283720930233	0.936061538461538	0.0064992700729927	0.11	0.299
Erysipelothrix	0.259945288708664	0.331	0.363657361635404	0.406	0.0501713787930516	0.201	1.25e-05	0.323	0.0572	0.00968	0.366	9.85e-06	2.93333333333333e-05	0.894805194805195	0.0860028368794326	0.0218314893617021	0.936061538461538	4.09450980392157e-05	0.123	0.456
Eubacterium	2.95907141586544	0.622	2.76607838560924	0.788	0.720078137286896	0.661	<2e-16	0.365	2.33e-15	2.99e-14	0.541	1e-06	NA	0.96725	3.79969230769231e-14	3.97811764705882e-13	0.936061538461538	5.17073170731707e-06	0.559	0.739
Methylobacterium	0.234655940545183	0.288	0.23236981931234	0.314	0.0352537561027599	0.141	1.72e-05	0.999	0.0261	0.0699	0.629	0.000409	3.88102564102564e-05	1	0.0464974789915966	0.102908333333333	0.937414965986395	0.000899918367346939	0.141	0.38
Enterobacter	0.602759907573299	0.564	0.865708711427556	0.888	0.114119474500866	0.317	1.17e-07	0.12	0.0111	0.000483	0.126	4.55e-05	4.38127659574468e-07	0.489230769230769	0.023744	0.00173552542372881	0.888108108108108	0.0001378	0.178	0.46
Escherichia	1.65491323639961	1.011	2.69160405623903	1.115	1.57192719261432	0.582	2.39e-08	9.3e-06	0.949	0.00134	0.167	2.1e-10	1.27466666666667e-07	0.0001643	0.958038095238095	0.00430424242424242	0.907794871794872	5.565e-09	0.135	0.613
Haemophilus	0.657640421033892	0.791	0.389920326314514	0.645	0.103748664799771	0.287	0.0115	0.202	0.0149	0.423	0.378	2.11e-05	0.0134933333333333	0.648848484848485	0.0303730769230769	0.469507853403141	0.936061538461538	7.58169491525424e-05	0.059	0.424
Ralstonia	0.236449468921544	0.285	0.246111363957116	0.337	0.0352537561027599	0.141	2.39e-05	0.986	0.0267	0.0517	0.74	0.000201	4.94870588235294e-05	1	0.04717	0.0863023622047244	0.96738947368421	0.000519658536585366	0.133	0.391
Alistipes	3.24165737979952	0.515	2.72179609363912	0.708	0.819352695605249	0.588	<2e-16	9.93e-05	1.67e-15	2.23e-14	0.567	1.1e-06	NA	0.00161935384615385	3.5404e-14	3.97811764705882e-13	0.936061538461538	5.55238095238095e-06	0.708	0.845
Salinispora	0.128672167578548	0.209	0.168231834588805	0.279	0	0	0.000695	0.662	0.0682	0.0344	0.147	0.00276	0.00104108474576271	1	0.0963893333333333	0.0628689655172414	0.888108108108108	0.00450092307692308	0.101	0.301
Desulfatibacillum	0.169697057902727	0.264	0.121306155664675	0.23	0.0501713787930516	0.201	1.64e-05	0.645	0.189	0.643	0.824	1.18e-05	3.74857142857143e-05	1	0.2226	0.68158	0.96738947368421	4.63259259259259e-05	0.139	0.442
Granulicella	0.195983918251993	0.279	0.220097825126342	0.395	0	0	1.25e-06	0.921	0.0365	0.0454	0.574	3.29e-08	4.064e-06	1	0.0609291338582677	0.0776193548387097	0.936061538461538	3.03252173913043e-07	0.146	0.505
Rhodospirillum	0.24149964086529	0.297	0.226522879331777	0.293	0	0	3.34e-08	0.966	0.00491	0.0295	0.941	2.04e-05	1.50728205128205e-07	1	0.0131762025316456	0.0543826086956522	0.991746341463415	7.45655172413793e-05	0.203	0.497
Salmonella	0.389770623796794	0.522	0.679983361805257	0.693	0.114119474500866	0.317	1.87e-06	0.0368	0.148	0.0033	0.895	1.6e-08	5.39540983606557e-06	0.251664516129032	0.18032183908046	0.00908571428571429	0.973025641025641	1.6152380952381e-07	0.117	0.524
Helicobacter	0.143199149182616	0.24	0.161036089229392	0.267	0.107739018112531	0.242	0.728	0.938	0.852	0.766	0.151	0.775	0.73216	1	0.872579710144928	0.799960591133005	0.888108108108108	0.789903846153846	0.019	0.04
Syntrophobotulus	0.159572615254792	0.24	0.154163516655883	0.252	0	0	0.00334	0.993	0.0294	0.0854	0.845	0.0917	0.00441984962406015	1	0.0515107438016529	0.119899337748344	0.96738947368421	0.109832768361582	0.079	0.194
Desulfotomaculum	0.426347171413676	0.351	0.431793701998556	0.431	0.0501713787930516	0.201	4.07e-12	0.997	0.000409	0.00238	0.798	4.74e-07	4.21364705882353e-11	1	0.00139851612903226	0.00691178082191781	0.96738947368421	2.79133333333333e-06	0.275	0.601
Lachnoclostridium	2.12231921806855	0.497	2.14390561000173	0.664	0.241894641738844	0.506	<2e-16	0.981	1.89e-15	1.23e-14	0.274	0.000306	NA	1	3.64254545454545e-14	3.72514285714286e-13	0.936061538461538	0.000697548387096774	0.616	0.744
Cellulosilyticum	0.368180889336317	0.325	0.449513083433501	0.455	0	0	2.61e-08	0.495	0.000226	0.000103	0.0462	0.00142	1.32754285714286e-07	1	0.00081206779661017	0.000412	0.776246153846154	0.00257299145299145	0.221	0.421
Edwardsiella	0.113602757526634	0.193	0.0966195591180519	0.221	0	0	0.00563	0.907	0.0676	0.232	0.145	0.0394	0.00707771428571429	1	0.0961825503355705	0.287625730994152	0.888108108108108	0.0518807453416149	0.081	0.257
