Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Gordonibacter	1.41584717841134	0.854833669133559	2.88118084548307e-07	0.878727338351982	0.330183275437447	1.08861751783756e-09	1.3630201692093e-06	0.96350745947665	0.949135961454365	1.91285649562886e-09
Granulicatella	0.78356573143023	0.263848922500114	2.5954131947769e-12	0.00153828053924273	0.549933201940164	0.0226832397581904	1.99522389348474e-11	0.0378417012653712	0.949135961454365	0.0263211178326171
Haemophilus	0.544877957167625	0.491413681936608	0.584007437497406	0.0286215965498329	0.269939143382689	5.77259344762194e-10	0.749592266144099	0.224643831441274	0.922292073224188	1.02902752761956e-09
Hallella	0.228443061698606	0.67960957412376	0.000147213490152818	0.474985598111693	0.256036103099771	2.34894602321075e-11	0.000532566449670489	0.800318199558058	0.899784019464909	4.66000582024068e-11
Hespellia	0.269999646669518	0.278923924793221	0.874734537222023	0.804636874856302	0.611863031359647	2.86730565808586e-05	0.935585635463556	0.951637842378126	0.949135961454365	3.96268085330967e-05
Holdemania	1.45478079902802	1.49413133754044	0.651491114107072	0.0292219618134991	0.726311601739706	2.54142507556283e-07	0.782651464579956	0.224643831441274	0.949135961454365	4.22426059857065e-07
Howardella	0.756680717910601	0.774200455668678	0.897708803549319	0.00387427974367094	0.534791691908121	6.86988710855904e-48	0.937382393063312	0.0794227347452542	0.949135961454365	8.44996114352762e-46
Hydrogenoanaerobacterium	0.719239118265495	0.659609491208201	0.489856661054787	0.470301125870103	0.701485603096357	2.66564892209583e-11	0.684686014883396	0.800318199558058	0.949135961454365	5.13532520418684e-11
Klebsiella	0.37822605275111	0.307174570701533	0.482021321086564	0.49708051031564	0.566170285829955	4.11225326379104e-28	0.681478419467211	0.811474793134639	0.949135961454365	2.10752979769291e-27
Lachnobacterium	0.28276457587792	0.290056405684848	0.899277417735535	0.0532359460828989	0.364966820433647	0.0855344590656504	0.937382393063312	0.311810541342693	0.949135961454365	0.0956430769552273
Lachnospiracea_incertae_sedis	4.08702947766611	3.90245566857009	0.000243708677401889	0.861966655365375	0.181601469702312	5.59144019432977e-06	0.000832671314456455	0.96350745947665	0.889462235481201	8.38716029149465e-06
Lactobacillus	0.886391061026317	0.941049974607318	0.613605174915199	0.893006913661285	0.687389833493506	1.06427608212549e-05	0.770137107291526	0.96350745947665	0.949135961454365	1.52216230350506e-05
Lactococcus	1.04318042345203	0.731122236774032	0.00313914042637864	0.603682540357964	0.0120994397064762	0.000179104713834683	0.00965285681111432	0.883963719809875	0.889462235481201	0.000234360423421979
Lactonifactor	0.597621873780033	0.495962372306538	0.1175140400231	0.601715815491124	0.157766669604891	0.000376759047078474	0.229432173378434	0.883963719809875	0.889462235481201	0.000482722529069295
Marvinbryantia	0.430420010152072	0.566711465683256	0.127987201609244	0.0338858409281194	0.508362318786394	7.82354880736797e-12	0.245975403092766	0.23584789591683	0.949135961454365	1.63101102255298e-11
Megamonas	0.239709434277357	0.266919270359303	0.772323027175388	0.909925369980614	0.952380601073922	5.79037839639208e-43	0.863597566750661	0.973224526153179	0.986762647559996	1.42443308551245e-41
Megasphaera	0.339801143610225	0.544483452560411	0.0627115386892953	0.00023817333203403	0.674420332034325	6.08335732224297e-26	0.13073761455565	0.0228920931577436	0.949135961454365	2.5801825883996e-25
Microbacterium	0.286994452785324	0.311129252212639	0.74881227221428	0.243360642490189	0.206664288885065	5.01417502502563e-18	0.852813976688486	0.554321463449875	0.899784019464909	1.62300928441619e-17
Mobiluncus	0.0537545402320958	0.552512054985628	9.5133139788839e-10	0.682103487599904	0.189805573716654	0.14531838515862	5.8506880970136e-09	0.90852293086516	0.889462235481201	0.15679088925009
Mogibacterium	0.713404525281221	0.676445507079059	0.703782107582663	0.396945419155202	0.437065929833588	5.8482672261162e-15	0.809020553576332	0.751142870093689	0.949135961454365	1.38334013233133e-14
Murdochiella	0.123610355586683	1.2574556778185	6.36547436578862e-21	0.859436748460344	0.530335192562281	0.00212358014039209	7.82953346992e-20	0.96350745947665	0.949135961454365	0.00263838744715381
Negativicoccus	0.0132250891106753	0.747456565892413	3.1456872432059e-18	0.753122116788756	0.562272277681191	0.0531020518390991	3.22432942428604e-17	0.922861444570514	0.949135961454365	0.0604773368167517
Odoribacter	2.18792238489839	2.16241872194703	0.845008508432599	0.501399059172623	0.889344744765251	2.79237614818818e-30	0.911719706466752	0.811474793134639	0.986762647559996	1.63553460108165e-29
Oribacterium	0.27262710258808	0.199749195848857	0.172850739550847	0.293934740657667	0.24343367055258	8.1594659443341e-05	0.303723442353631	0.623344363808501	0.899784019464909	0.000110287286939901
Oscillibacter	3.27571377544404	3.29418061972103	0.813345129661863	0.007082221018651	0.719027398967535	1.20737868502211e-16	0.901274332868551	0.0967903539215636	0.949135961454365	3.37517223312999e-16
