Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Chromobacterium	0.119	0.196	0.183	0.258	0.183	0.336	0.298517837896538	0.38591860127065	0.545808435452383	0.999998290159146	0.0666016537300227	0.00254595290612106	0.308711129922274	0.972457701939892	0.584669026267545	0.999998290159146	0.992849071326454	0.00426860679862603
Brevibacillus	0.129	0.227	0.099	0.163	0	0	0.0583370232164503	0.769935170436584	0.0471688420655396	0.254981878125644	0.0303922686834484	0.243364167219771	0.0694800501229633	0.999986120067965	0.074072551984403	0.310770490424044	0.992849071326454	0.267322297671458
Prevotella	1.699	0.653	2.002	0.926	0.506	0.714	1.54871773519637e-09	0.124791308640587	2.55387424541453e-08	2.24165297435519e-09	0.615179729421712	1.83341740815208e-09	8.20820399654077e-09	0.489921433922305	1.42808907109183e-07	1.82780934832039e-08	0.992849071326454	3.23903742106868e-08
Shewanella	0.284	0.309	0.432	0.503	0.184	0.292	0.0558467250113701	0.123505138821441	0.546058807551764	0.066643121209255	0.194939544777981	3.33033381064383e-06	0.0684364491468813	0.489921433922305	0.584669026267545	0.100201004938738	0.992849071326454	1.47089743303436e-05
Rhodobacter	0.155	0.237	0.276	0.306	0	0	0.00144360163520782	0.0513061340466476	0.0465297276297765	0.000989861044067508	0.540497487293685	2.31102458482943e-06	0.00344011052010748	0.293659630601998	0.0736141959515867	0.0032284698668048	0.992849071326454	1.06508089561704e-05
Faecalitalea	1.629	0.457	1.551	0.615	0.314	0.456	4.73701905998458e-17	0.735876986819767	2.80886425230165e-14	1.13364873044475e-12	0.341283567508378	5.08352314320217e-05	4.56476382143969e-16	0.999986120067965	2.83464073469947e-13	1.14444538502041e-11	0.992849071326454	0.000148017441223927
Flavobacterium	0.257	0.252	0.736	0.487	1.612	0.16	4.54530150510397e-35	4.10499412240029e-11	1.66533453693773e-15	3.1863400806742e-14	0.168120733938541	0.0670503359912046	2.40900979770511e-33	1.60692696186497e-09	3.530509218308e-14	3.97355351237018e-13	0.992849071326454	0.0836157131184434
Catenulispora	0.117	0.214	0.153	0.311	0	0	0.0888473403298088	0.733102597962238	0.13559019333053	0.080326099787654	0.39436967068439	0.178632113328342	0.101266861021072	0.999986120067965	0.16810012272557	0.11506171050664	0.992849071326454	0.199315831713729
Bacillus	0.698	0.477	1.22	0.926	0.508	0.484	6.27809497235799e-05	0.00018908770900794	0.46068132518102	0.000545531488705953	0.355923112888574	4.57015117102831e-08	0.000229475195541361	0.0026915775416386	0.503424953290599	0.00189594550173216	0.992849071326454	3.875488193032e-07
Blautia	2.664	0.407	2.629	0.715	0.56	0.765	7.12987596136701e-30	0.94770779776133	1.66533453693773e-15	2.33146835171283e-15	0.251780090208505	0.00135266487971878	2.15933386258544e-28	0.999986120067965	3.530509218308e-14	1.2356782264078e-13	0.992849071326454	0.00249360830000332
Treponema	0.759	0.363	0.898	0.403	0.035	0.141	1.2726653912987e-12	0.166474152089423	1.59706692315353e-11	5.80946402095606e-12	0.995687648170567	2.18722568989463e-09	8.17591099864622e-12	0.569234197467058	1.20920781324482e-10	5.35481031496819e-11	0.995687648170567	3.56686035582816e-08
Histophilus	0.307	0.309	0.526	0.404	0.379	0.415	0.0120466212420718	0.00868183713088322	0.712329545147541	0.354320791293786	0.115005060609491	0.35373589771242	0.0207632821408067	0.0865204057151533	0.751312754085964	0.41046998772832	0.992849071326454	0.375126980786176
Magnetospirillum	0.192	0.257	0.187	0.309	0.07	0.192	0.223423302473219	0.995145692699457	0.198518716700599	0.33276361916186	0.328565910734369	0.00579469935161974	0.235650448379713	0.999986120067965	0.231241582090808	0.389756283217206	0.992849071326454	0.00871259760669067
Zymomonas	0.118	0.213	0.156	0.304	0	0	0.0763765380567108	0.702476277635292	0.123357465762083	0.0677808376453241	0.393162473780205	0.0711052816767759	0.0899545892667927	0.999986120067965	0.154744276577287	0.100486276788872	0.992849071326454	0.0876413936946308
Riemerella	0.65	0.565	0.43	0.539	0.077	0.308	0.00032066082083647	0.140784309018935	0.000374243680797415	0.0962695886169559	0.739506951800766	5.66427970308015e-12	0.000944167972462938	0.524576371490252	0.00130065016932872	0.131671953463191	0.992849071326454	4.00275765684331e-10
Agrobacterium	0.215	0.261	0.159	0.254	0.045	0.179	0.0395397838261602	0.560756127577254	0.0359032040814117	0.319107768129702	0.551659677179472	0.000158606100856584	0.0523902135696622	0.999986120067965	0.0604085655972958	0.377937691863111	0.992849071326454	0.000415117202241924
Ferrimonas	0.16	0.237	0.213	0.297	0.032	0.128	0.0577149242723278	0.564919139628368	0.122513086437486	0.0469762120626382	0.772650690666105	0.0028810051400488	0.0691274799193982	0.999986120067965	0.154744276577287	0.0790393409307882	0.992849071326454	0.00462706886129049
Desulfurivibrio	0.207	0.282	0.091	0.203	0	0	0.00335401762067463	0.0866966150575071	0.0079701707290335	0.482697340364782	0.682366536318691	0.000493209969331061	0.00733043026374249	0.427434474237012	0.0179752786654798	0.524778646960686	0.992849071326454	0.00103525260889292
Geobacillus	1.172	0.506	2.357	0.539	1.527	0.346	2.66442545056866e-20	1.40998324127395e-14	0.0228706752966505	9.16860868227509e-07	0.0413301654808055	0.999801234704226	2.97293787116082e-19	2.34190444814431e-12	0.0440645350765531	4.8593626016058e-06	0.992849071326454	0.99986045111219
Acholeplasma	0.207	0.289	0.308	0.36	0	0	0.00398835477972653	0.242642201849494	0.0240526598385187	0.00265721216862136	0.950124100780376	0.00744860523269725	0.00845531213302024	0.75647274694254	0.0447295077698768	0.0076125537803747	0.995687648170567	0.0108157829406289
Streptococcus	2.021	0.651	2.5	0.544	0.512	0.659	1.28244148176017e-17	0.00164000180554202	4.34097202628436e-14	3.07531777821168e-14	0.842351490754471	0.070509945887681	1.29465521015788e-16	0.0185308218091081	3.68114427828914e-13	3.97355351237018e-13	0.992849071326454	0.0874158393461308
Paracoccus	0.196	0.294	0.146	0.286	0	0	0.0320791641689203	0.680014698903866	0.0257347683050654	0.213864397976167	0.462018484369803	0.000415602957879145	0.0453385520254074	0.999986120067965	0.0462353464463887	0.27149252916735	0.992849071326454	0.000899059459901825
Dehalobacter	0.107	0.187	0.169	0.335	0.037	0.146	0.15351781072641	0.385464855383527	0.467875919198017	0.137912282687278	0.603675310056865	0.385184756398711	0.166049876908158	0.972457701939892	0.508665101897332	0.181598782172068	0.992849071326454	0.4062645191867
Slackia	0.534	0.449	0.477	0.465	0.051	0.206	0.000326533628942915	0.817905954456899	0.000187869208113756	0.0059567680459256	0.769205218380772	8.04624619749071e-07	0.000948289442957506	0.999986120067965	0.000691294062126256	0.0154004247041003	0.992849071326454	4.48895840491587e-06
Fibrella	0.339	0.346	0.303	0.462	0	0	0.00243760553296431	0.886830409793132	0.00156049733951502	0.0196691246513531	0.889725871429095	0.000290551724506775	0.00549757843604717	0.999986120067965	0.00472607765681692	0.0404840235542413	0.992849071326454	0.000690601054513348
Sphaerochaeta	0.169	0.233	0.266	0.415	0.512	0.42	0.00017268855778529	0.289763379006473	0.000127151388367497	0.0276286165048143	0.844344235478306	0.256674387082885	0.000530579336963499	0.830132923640165	0.000508605553469987	0.0527681684596453	0.992849071326454	0.280489536399853
Frankia	0.204	0.296	0.214	0.372	0	0	0.0355245895328505	0.985800482758998	0.0323322602370604	0.0597991418344467	0.394396776323598	7.97577806229249e-06	0.0489039803958722	0.999986120067965	0.0552777352440064	0.0946075975291246	0.992849071326454	3.38172989841202e-05
Emticicia	0.159	0.259	0.102	0.207	0.063	0.174	0.239029464309527	0.515316118674419	0.308906424352609	0.865914430223396	0.460347850094743	0.0107262300017384	0.249626829722265	0.999986120067965	0.348341287035921	0.891135238870679	0.992849071326454	0.0154691208188336
