Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Acidithiobacillaceae	0.0792921217987149	0.162	0.22733280094092	0.256	0.0501713787930516	0.201	0.000862	0.000939	0.833	0.00856	0.211	0.682	0.00119722222222222	0.0117375	0.897629310344828	0.01671875	0.760416666666667	0.710416666666667	0.105	0.128
Burkholderiaceae	0.82842296568414	0.367	0.870220873406858	0.533	0.182851668106557	0.331	<2e-16	0.878	5.84e-08	6.42e-07	0.596	5.26e-07	NA	1	2.92e-07	2.97222222222222e-06	0.921875	2.19166666666667e-06	0.371	0.645
Helicobacteraceae	0.236073303224262	0.284	0.365658347816368	0.413	0.107739018112531	0.242	0.00156	0.125	0.273	0.0228	0.128	0.00857	0.00205263157894737	0.538793103448276	0.315972222222222	0.039041095890411	0.740384615384615	0.0116532258064516	0.089	0.268
Methylobacteriaceae	0.234655940545183	0.288	0.23236981931234	0.314	0.0352537561027599	0.141	1.72e-05	0.999	0.0261	0.0699	0.629	0.000409	3.51020408163265e-05	1	0.0412974683544304	0.0970833333333333	0.921875	0.000679276315789474	0.141	0.38
Alteromonadaceae	4.83418607559685	0.161	4.79157957630238	0.271	5.06445521292319	0.009	<2e-16	0.513	1.52e-05	1.04e-05	0.247	6.19e-10	NA	1	5.58823529411765e-05	4.0625e-05	0.791666666666667	8.59722222222222e-09	0.349	0.671
Peptostreptococcaceae	1.6916429196783	0.429	1.73304261945758	0.507	0.144392035338899	0.27	<2e-16	0.895	1.67e-15	7.22e-15	0.192	0.000255	NA	1	2.953125e-14	2.25625e-13	0.760416666666667	0.00046195652173913	0.635	0.762
Shewanellaceae	0.283619386957969	0.309	0.432063381526893	0.503	0.183920354914156	0.292	2.14e-05	0.124	0.546	0.0666	0.108	3.33e-06	4.11538461538462e-05	0.538793103448276	0.609375	0.0935393258426966	0.740384615384615	1.07692307692308e-05	0.12	0.441
Myxococcaceae	0.306240687899116	0.359	0.299725321712924	0.409	0	0	9.84e-10	0.996	0.00433	0.02	0.867	1.82e-06	3.60714285714286e-09	1	0.00891393442622951	0.0347222222222222	0.950657894736842	6.31944444444444e-06	0.229	0.55
Deinococcaceae	0.420812958237833	0.366	0.458782050934476	0.414	0	0	1.09e-14	0.873	7.19e-05	0.00021	0.867	6.28e-09	1.3625e-13	1	0.000230448717948718	0.00069078947368421	0.950657894736842	5.23333333333333e-08	0.307	0.659
Halomonadaceae	0.480741126041571	0.305	0.792000786030103	0.363	1.23729243009215	0.312	6.1e-14	3.28e-05	4.43e-14	5.03e-05	0.973	1	6.1e-13	0.000585714285714286	3.25735294117647e-13	0.000184926470588235	0.996	1	0.38	0.38
Listeriaceae	0.192806289668932	0.239	0.173392451552392	0.256	0	0	0.000793	0.918	0.00629	0.0454	0.352	0.105	0.0011169014084507	1	0.0120961538461538	0.0683734939759036	0.861111111111111	0.118243243243243	0.102	0.221
Ferrimonadaceae	0.160372466365425	0.237	0.213146595833419	0.297	0.0319317746779573	0.128	0.00261	0.565	0.123	0.047	0.733	0.00288	0.0032625	1	0.158505154639175	0.0699404761904762	0.94	0.00423529411764706	0.075	0.271
Corynebacteriaceae	0.622611050236626	0.357	0.752632633868964	0.531	0.105006885321464	0.287	6.34e-13	0.269	7.3e-06	1.4e-06	0.369	4.21e-05	4.52857142857143e-12	0.925675675675676	2.94354838709677e-05	6.03448275862069e-06	0.861111111111111	9.39732142857143e-05	0.309	0.547
Ruminococcaceae	3.40411074584765	0.491	3.38478351095672	0.741	1.44938007071803	0.573	<2e-16	0.986	1.89e-15	1.74e-14	0.624	2.29e-05	NA	1	2.953125e-14	3.5e-13	0.921875	5.50480769230769e-05	0.63	0.778
Ectothiorhodospiraceae	0.316528340543835	0.295	0.404174334531695	0.406	0	0	1.69e-12	0.375	0.000527	0.000127	0.748	4.5e-08	1.12666666666667e-11	1	0.00143085106382979	0.000429054054054054	0.94	2.95833333333333e-07	0.273	0.593
Chrysiogenaceae	0.101668369992943	0.201	0.230455378442459	0.288	0	0	5.95e-06	0.0127	0.171	0.00168	0.0534	0.000616	1.23958333333333e-05	0.122115384615385	0.211633663366337	0.00477272727272727	0.623214285714286	0.000987179487179487	0.153	0.359
Flavobacteriaceae	1.06593768701922	0.405	1.22018680241915	0.468	1.66564467448292	0.132	0.00265	0.173	3.91e-07	0.0015	0.593	8.2e-07	0.0032716049382716	0.67578125	1.74553571428571e-06	0.00436046511627907	0.921875	3.203125e-06	0.067	0.459
Anaplasmataceae	0.0851258672243423	0.183	0.353298334021466	0.386	1.07898058551251	0.31	<2e-16	5.17e-06	1.67e-15	3.08e-14	0.884	0.737	NA	0.00012925	2.953125e-14	3.5e-13	0.952586206896552	0.761363636363636	0.607	0.614
Rikenellaceae	3.24165737979952	0.515	2.72179609363912	0.708	0.819352695605249	0.588	<2e-16	9.93e-05	1.67e-15	2.23e-14	0.567	1.1e-06	NA	0.0015515625	2.953125e-14	3.5e-13	0.921875	4.04411764705882e-06	0.708	0.845
Peptococcaceae	0.772653660071719	0.392	0.924263420436588	0.517	0.0867351011592335	0.24	<2e-16	0.195	1.47e-08	3.06e-09	0.392	1.45e-10	NA	0.716911764705882	8.35227272727273e-08	2.01315789473684e-08	0.890909090909091	3.02083333333333e-09	0.43	0.755
Thermomonosporaceae	0.113972778005932	0.182	0.149822872636505	0.286	0	0	0.00586	0.675	0.0862	0.0446	0.487	0.017	0.00689411764705882	1	0.113421052631579	0.0683734939759036	0.921875	0.0219072164948454	0.069	0.216
Mycoplasmataceae	0.963469536201373	0.356	1.34732435909576	0.445	2.03336310489111	0.227	<2e-16	7.42e-06	2.01e-14	4.94e-08	0.991	0.351	NA	0.000154583333333333	2.28409090909091e-13	2.57291666666667e-07	0.996	0.375	0.513	0.556
Saprospiraceae	0.40267791308935	0.361	0.280431707608727	0.402	0	0	1.7e-08	0.237	0.00011	0.0315	0.98	1.18e-05	5.66666666666667e-08	0.846428571428571	0.000338414634146341	0.0511363636363636	0.996	3.01020408163265e-05	0.213	0.491
Bradyrhizobiaceae	0.585660174784131	0.421	0.786984135952774	0.436	0.639346079460712	0.418	0.00682	0.0727	0.886	0.511	0.861	9.14e-06	0.00793023255813954	0.463690476190476	0.922916666666667	0.550646551724138	0.950657894736842	2.53888888888889e-05	0.052	0.433
Phyllobacteriaceae	0.182925544799887	0.275	0.220722252244333	0.342	0	0	6.97e-05	0.798	0.0394	0.031	0.845	0.00041	0.000118135593220339	1	0.0600609756097561	0.0509868421052632	0.950657894736842	0.000679276315789474	0.119	0.346
Propionibacteriaceae	0.511314082792258	0.458	0.475207989241647	0.404	0.0868277864487604	0.241	8.33e-10	0.918	0.000934	0.0119	0.0216	3.89e-06	3.20384615384615e-09	1	0.002335	0.021875	0.623214285714286	1.19512195121951e-05	0.239	0.564
Oxalobacteraceae	0.219208876766395	0.247	0.243434598816545	0.328	0.050066526876103	0.2	0.000737	0.9	0.0439	0.0486	0.112	0.00764	0.00105285714285714	1	0.0638081395348837	0.0714705882352941	0.740384615384615	0.0106111111111111	0.105	0.287
Dehalococcoidaceae	0.187083817495215	0.275	0.270642235555227	0.426	0	0	0.00205	0.39	0.0541	0.0118	0.421	0.000413	0.00259493670886076	1	0.0759831460674157	0.021875	0.911637931034483	0.000679276315789474	0.075	0.315
Rhodocyclaceae	0.431078996519141	0.352	0.30500477674621	0.363	0	0	6.05e-16	0.189	1.4e-05	0.0121	0.639	4.6e-07	1.5125e-14	0.715909090909091	5.3030303030303e-05	0.0219202898550725	0.921875	2e-06	0.357	0.688
Moraxellaceae	0.520037989402779	0.543	1.59752794944894	0.756	0.498631210372763	0.453	1.75e-13	4.65e-14	0.989	2.82e-08	0.0172	0.0505	1.59090909090909e-12	1.9375e-12	0.99	1.53260869565217e-07	0.623214285714286	0.0595518867924528	0.363	0.462
Campylobacteraceae	1.16966569544725	0.54	1.4136800507556	0.709	0.16361081200798	0.372	3.14e-16	0.11	2.05e-09	1.92e-10	0.328	8.16e-07	1.04666666666667e-14	0.528846153846154	1.31875e-08	1.41176470588235e-09	0.861111111111111	3.203125e-06	0.348	0.612
Rhodobiaceae	0.0985635967933561	0.171	0.134949271933697	0.283	0	0	0.00703	0.643	0.134	0.063	0.315	0.0382	0.00808045977011494	1	0.170918367346939	0.0894886363636364	0.861111111111111	0.0459134615384615	0.07	0.213
Methylococcaceae	0.161374167890584	0.24	0.201616012779165	0.315	0	0	0.000212	0.723	0.0411	0.0256	0.682	0.000194	0.000341935483870968	1	0.0611607142857143	0.0426666666666667	0.94	0.000356617647058824	0.099	0.342
Sphingobacteriaceae	0.268852488349729	0.307	0.29056420282135	0.322	0	0	0.000209	0.936	0.00238	0.00522	0.145	0.0313	0.000341935483870968	1	0.00521929824561404	0.0118636363636364	0.740384615384615	0.0387376237623762	0.12	0.265
Thermoanaerobacterales_Family_III._Incertae_Sedis	0.701939788233146	0.296	0.884445617411057	0.334	0.954991596199712	0.41	0.00182	0.0223	0.0103	0.759	0.613	1	0.00236363636363636	0.185833333333333	0.0183928571428571	0.777663934426229	0.921875	1	0.089	0.089
Roseiflexaceae	0.155759747301666	0.238	0.0841139601130141	0.192	0	0	0.00393	0.274	0.0233	0.434	0.504	0.225	0.00479268292682927	0.925675675675676	0.0378246753246753	0.480088495575221	0.921875	0.248893805309735	0.082	0.171
Acidaminococcaceae	0.981715912216904	0.625	0.923888041518954	0.882	0.198206588087761	0.366	<2e-16	0.912	6.34e-05	0.00178	0.0658	3.05e-16	NA	1	0.000208552631578947	0.00494444444444444	0.623214285714286	3.8125e-14	0.309	0.746
Brachyspiraceae	0.360190638165275	0.33	0.510144422747077	0.408	0.050066526876103	0.2	3e-06	0.0954	0.00224	6.82e-05	0.21	0.0163	6.81818181818182e-06	0.51	0.005	0.000243571428571429	0.760416666666667	0.0212239583333333	0.16	0.331
Enterobacteriaceae	2.22909949346799	0.979	3.03879396499353	1.036	1.83375008819607	0.518	1.01e-09	0.000349	0.277	0.000273	0.812	1.93e-10	3.60714285714286e-09	0.00484722222222222	0.317660550458716	0.000875	0.950657894736842	3.44642857142857e-09	0.155	0.623
Xanthobacteraceae	0.21663224703981	0.271	0.282791653440717	0.331	0	0	4.7e-06	0.489	0.00968	0.00311	0.773	0.00527	1.02173913043478e-05	1	0.0177941176470588	0.007925	0.950657894736842	0.00757183908045977	0.15	0.357
Chromatiaceae	0.351878724810749	0.34	0.273484261779782	0.314	0.0238152894117063	0.095	3.59e-10	0.485	0.000579	0.0359	0.475	0.000181	1.436e-09	1	0.0015078125	0.0575320512820513	0.921875	0.00034280303030303	0.255	0.552
Micromonosporaceae	0.34470625841991	0.335	0.328527529893785	0.444	0	0	3e-08	0.973	0.000748	0.00713	0.192	0.000121	9.09090909090909e-08	1	0.00190816326530612	0.0146370967741935	0.760416666666667	0.000236328125	0.214	0.455
Cellulomonadaceae	0.164835284399134	0.265	0.152291218752761	0.256	0	0	3.82e-05	0.97	0.0405	0.129	0.996	0.000268	7.07407407407407e-05	1	0.0609939759036145	0.16796875	0.996	0.000478571428571429	0.13	0.369
Thermotogaceae	0.135137977749377	0.246	0.116287792192527	0.244	0.0238152894117063	0.095	0.00185	0.925	0.186	0.42	0.243	0.000704	0.00237179487179487	1	0.227941176470588	0.46875	0.791666666666667	0.00111392405063291	0.091	0.32
Rhizobiaceae	0.613931075883037	0.331	0.678566317668993	0.406	0.0607851309760668	0.243	2.45e-16	0.648	3.94e-08	1.27e-07	0.818	4.08e-06	1.04666666666667e-14	1	2.05208333333333e-07	6.35e-07	0.950657894736842	1.21428571428571e-05	0.371	0.622
Fusobacteriaceae	0.215791849360694	0.341	0.407108806096715	0.552	0.0442495621236677	0.177	0.0196	0.05	0.214	0.00726	0.128	0.0105	0.0215384615384615	0.367647058823529	0.259708737864078	0.0146370967741935	0.740384615384615	0.0139627659574468	0.059	0.241
Alicyclobacillaceae	0.195631914465334	0.257	0.310087228951765	0.339	0	0	8.83e-05	0.102	0.0161	0.000603	0.0619	0.0438	0.000147166666666667	0.51	0.0268333333333333	0.00183841463414634	0.623214285714286	0.0521428571428571	0.135	0.26
Frankiaceae	0.20362329964169	0.296	0.213875108168162	0.372	0	0	3.86e-07	0.986	0.0323	0.0598	0.277	7.98e-06	1.01578947368421e-06	1	0.0498456790123457	0.0869186046511628	0.824404761904762	2.26704545454545e-05	0.179	0.46
Bacteroidaceae	4.16762645738808	0.422	3.95606256155749	0.584	1.97607305132634	0.534	<2e-16	0.0943	1.67e-15	1.67e-15	0.649	0.00135	NA	0.51	2.953125e-14	8.79166666666667e-14	0.921875	0.00208333333333333	0.701	0.785
Paenibacillaceae	0.667983881640262	0.4	0.62263626711227	0.515	0.0501713787930516	0.201	1.68e-15	0.863	3.4e-07	5.03e-05	0.331	3.92e-06	3.36e-14	1	1.57407407407407e-06	0.000184926470588235	0.861111111111111	1.19512195121951e-05	0.361	0.636
Chlorobiaceae	0.619395859629698	0.394	0.431678616676056	0.493	0.0813746587491984	0.224	2.89e-16	0.0779	5.86e-06	0.0169	0.485	7.99e-08	1.04666666666667e-14	0.463690476190476	2.44166666666667e-05	0.0297535211267606	0.921875	4.34239130434783e-07	0.37	0.682
Streptomycetaceae	0.636072708471881	0.391	0.533394619201798	0.504	0.168004907991483	0.304	1.39e-09	0.469	0.000111	0.0135	0.423	0.000164	4.79310344827586e-09	1	0.000338414634146341	0.0241071428571429	0.911637931034483	0.000315384615384615	0.253	0.488
Microbacteriaceae	0.215377440184521	0.292	0.156631925130482	0.283	0	0	7.88e-07	0.579	0.0117	0.167	0.331	0.000453	1.97e-06	1	0.0202054794520548	0.210858585858586	0.861111111111111	0.00073538961038961	0.185	0.423
Thermoanaerobacteraceae	0.500525012686327	0.347	0.733378047139669	0.469	1.12286852810962	0.254	0.00143	0.00939	9.29e-09	0.00245	0.0891	2.93e-06	0.00190666666666667	0.0978125	5.52976190476191e-08	0.00651595744680851	0.7125	9.89864864864865e-06	0.086	0.459
