Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Verrucomicrobiaceae	1.86	1.218	1.615	1.282	0.633	0.716	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.00196310827393231	0.999576536022779	0.00143202591338382	0.0415415252657133	0.982493085830511	3.91414256839264e-10
Synergistaceae	0.4	0.35	0.396	0.45	0.05	0.201	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.00334654069278893	0.999576536022779	0.00302059872397482	0.0146456369358985	0.982493085830511	4.24529724452547e-07
Clostridiales_Family_XVII._Incertae_Sedis	0.238	0.274	0.275	0.379	0.05	0.201	0.0361730257596381	0.824532758985439	0.0467257463798768	0.0393602479664149	0.545981346960137	0.00178689306003516	0.0481024278718591	0.999576536022779	0.0668668941156438	0.0617906636824194	0.982493085830511	0.00272392234761458
Pasteurellaceae	0.976	0.68	0.995	0.533	0.816	0.412	0.611977123122451	0.989577756382324	0.613562170764143	0.637670759220289	0.483074106876202	0.0285649579829857	0.627025740904151	0.999576536022779	0.678719215447061	0.675498685614713	0.982493085830511	0.0357061974787321
Cytophagaceae	0.712	0.372	0.588	0.509	0.39	0.366	0.00932227722130774	0.323287421276974	0.00987697338005866	0.263526152011809	0.687535371505998	0.000803881184254756	0.0145660581582933	0.999576536022779	0.0178930677174976	0.313721609537868	0.982493085830511	0.00125606435039806
Clostridiaceae	1.443	0.383	1.421	0.492	0.206	0.404	1.22485147920491e-20	0.963062928819001	1.32116539930394e-14	2.85327317328665e-14	0.216178202133775	0.00273974948078488	1.53106434900614e-19	0.999576536022779	1.65145674912992e-13	3.49467929342237e-13	0.982493085830511	0.00407700815592989
Desulfobacteraceae	0.329	0.327	0.314	0.325	0.067	0.267	0.0110920309127465	0.975789019579836	0.00809794880678227	0.0395460247567484	0.273049040421569	0.000121327403091001	0.0171173316554729	0.999576536022779	0.0151081134454893	0.0617906636824194	0.982493085830511	0.000236967584162112
Gallionellaceae	0.158	0.252	0.136	0.262	0	0	0.0551527217073267	0.90480647221908	0.042706096238522	0.173206943223397	0.646291945774147	0.000380882503728326	0.0689409021341584	0.999576536022779	0.0628030827037088	0.214365028741828	0.982493085830511	0.000652196068027956
Neisseriaceae	0.295	0.307	0.24	0.337	0.163	0.295	0.255424515684784	0.686448454735072	0.265619207375677	0.717405791482157	0.472718650082175	0.569143096251037	0.268303062694101	0.999576536022779	0.313230197376977	0.741121685415451	0.982493085830511	0.597839386818316
Thermaceae	0.636	0.428	1.541	0.492	0.652	0.487	4.57974780300803e-16	2.98649993624167e-14	0.990132282115711	8.46999781423108e-09	0.177526885663018	0.264512687180161	3.18038041875558e-15	1.86656246015104e-12	0.990132282115711	5.29374863389442e-08	0.982493085830511	0.290035841206317
