Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU187350	0.237	0.513	0.258	0.533	0.909161056609793	0.407246977650208	7.00506641641046e-28	0.999999461192889	0.998351084606317	1.6048492322842e-27
OTU4127460	1.713	1.157	1.351	1.006	0.00150433578078429	0.385663505135429	2.96098077443867e-31	0.0119279957653676	0.998351084606317	8.09383008758542e-31
OTU182497	1.204	1.084	1.05	0.936	0.253080224549007	0.969803350648077	1.94627656635602e-46	0.729236317128324	0.998351084606317	1.89930082400602e-45
OTU182491	0.408	0.487	0.427	0.495	0.920096895824505	0.100258028761155	0.00042380847888437	0.999999461192889	0.998351084606317	0.000464983198618966
OTU3096648	0.561	0.843	0.469	0.778	0.458769159418412	0.304198791245217	1.59652562904775e-46	0.999812709999581	0.998351084606317	1.57957137457999e-45
OTU185059	0.374	0.595	0.317	0.485	0.518711107147078	0.171168268874987	3.87657172946836e-12	0.999999461192889	0.998351084606317	5.4515813755291e-12
OTU362344	0.365	0.471	0.41	0.487	0.59197596077331	0.107806945098542	4.16052038755485e-07	0.999999461192889	0.998351084606317	5.05593673183296e-07
OTU199698	0.594	0.673	0.598	0.642	0.997568901111823	0.179915310676548	4.34020528029611e-13	0.999999461192889	0.998351084606317	6.23695308916587e-13
OTU186592	0.817	1.001	0.96	1.138	0.347079396564091	0.79131496016977	1.9592892895046e-55	0.872174330524883	0.998351084606317	7.06608201827788e-54
OTU199524	0.615	0.58	0.528	0.561	0.251880351558332	0.636397898120505	2.48919665759053e-11	0.728715839703944	0.998351084606317	3.41462805298922e-11
OTU1089121	1.086	0.703	0.409	0.467	1.70183657274803e-26	0.21891987274786	0.0687008050649041	9.51326644166151e-25	0.998351084606317	0.0702079525251945
OTU4468234	3.545	0.872	3.51	0.991	0.92360456625279	0.797008713331073	2.36709780506623e-51	0.999999461192889	0.998351084606317	5.08926028089239e-50
OTU291711	0.297	0.347	0.357	0.377	0.19598917384753	0.704728005242591	0.000428597180360691	0.613770017819436	0.998351084606317	0.000469776125140444
OTU369017	0.496	0.787	0.4	0.645	0.354407744874595	0.400840435571249	5.24511650460474e-29	0.880008816166801	0.998351084606317	1.27202608506466e-28
OTU4349660	1.149	0.99	1.056	0.997	0.593337938771108	0.700274002354271	4.14749845702423e-30	0.999999461192889	0.998351084606317	1.06107626429133e-29
OTU188321	0.751	0.895	0.811	0.876	0.758797950288879	0.462772648489729	1.91725699028606e-42	0.999999461192889	0.998351084606317	1.20420972760664e-41
