Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acholeplasmatales	0.241	0.306	0.369	0.359	0.214	0.299	0.139485369508908	0.145915757282724	0.946628867671069	0.266107777942489	0.235732735387172	0.00643044750812133	0.156034481145559	0.48152199903299	0.980030101890129	0.308124795512356	0.972190562078386	0.00882121438029964
Cytophagales	0.752	0.367	0.66	0.505	0.39	0.366	0.00367027166213621	0.524741633207001	0.00268643891702325	0.0808383247373103	0.555988156048355	0.00268448382333153	0.00590824218782902	0.99995620847492	0.00521485201539807	0.111152696513802	0.991762656734903	0.00412037051953211
Bacteroidales	4.321	0.376	4.073	0.586	2.088	0.536	1.31627025668507e-38	0.0270277844053348	1.66533453693773e-15	1.66533453693773e-15	0.818932400691196	0.00222498198868679	4.34369184706071e-37	0.137217982365546	3.66373598126302e-14	4.15223411209809e-14	0.995692413269522	0.00349640026793639
Clostridiales	3.855	0.43	3.792	0.639	1.769	0.568	9.00662844939451e-32	0.825106604545233	1.66533453693773e-15	1.88737914186277e-15	0.995692413269522	0.0030817434592819	1.98145825886679e-30	0.99995620847492	3.66373598126302e-14	4.15223411209809e-14	0.995692413269522	0.00462261518892284
Synergistales	0.4	0.35	0.396	0.45	0.05	0.201	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.00291550625155772	0.99995620847492	0.00264151358411598	0.0135325685287702	0.995692413269522	2.90078663484752e-07
Actinomycetales	1.557	0.419	1.757	0.629	0.627	0.521	6.36637439898146e-12	0.129697508743782	1.04508512954737e-10	1.86627380216464e-11	0.94412423126784	8.12649729105449e-09	3.00129078809126e-11	0.450528188267874	5.74796821251056e-10	1.75962958489809e-10	0.995692413269522	4.12576016315074e-08
Acidobacteriales	0.393	0.361	0.363	0.476	0	0	0.00057148702404824	0.925396168838327	0.000352275827861459	0.00570432379394048	0.811854116939502	1.20876499580323e-09	0.00121671430926399	0.99995620847492	0.000861118690328011	0.011408647587881	0.995692413269522	7.25258997481939e-09
Neisseriales	0.499	0.357	0.459	0.44	0.34	0.41	0.29919373156901	0.876912674943401	0.273469195110356	0.581702234797493	0.488873078441374	0.037710568334263	0.313441052119915	0.99995620847492	0.339006407841355	0.609402341216422	0.972190562078386	0.0452526820011155
Rhizobiales	1.081	0.414	1.26	0.452	0.966	0.377	0.0552753879625676	0.117557269082312	0.564504213647453	0.0680877340747428	0.638007045436018	5.09445259177065e-09	0.0701572231832589	0.450528188267874	0.653636457907577	0.0956125627432558	0.995692413269522	2.80194892547386e-08
Thermodesulfobacteriales	0.19	0.236	0.137	0.224	0.045	0.179	0.0477932022306285	0.511568626840392	0.0470742934574132	0.396435663654283	0.0381127056562175	0.845955536647388	0.0630870269444296	0.99995620847492	0.0722535667020761	0.436079230019712	0.838479524436785	0.872391647167619
Xanthomonadales	0.452	0.392	0.526	0.418	0.302	0.373	0.198081850920699	0.655953911610338	0.340803115857944	0.170982908649756	0.245145629157049	5.31586264188383e-06	0.217890036012769	0.99995620847492	0.408963739029532	0.215691665146117	0.972190562078386	1.40338773745733e-05
Desulfobacterales	0.513	0.369	0.451	0.435	0.111	0.311	0.000638359170222832	0.724026171525895	0.000377742956363392	0.0133696425272761	0.917650371909255	0.000120920765845437	0.00131661578858459	0.99995620847492	0.000890394111427995	0.0220599101700056	0.995692413269522	0.000266025684859962
Rhodobacterales	0.581	0.407	0.629	0.478	0	0	7.38858425870547e-07	0.837449040243964	9.15143162805165e-07	4.7561498488502e-06	0.468852381804973	6.14178581057852e-10	2.43823280537281e-06	0.99995620847492	3.55290874971417e-06	1.97211173976614e-05	0.972190562078386	4.57500268443167e-09
Fusobacteriales	0.357	0.381	0.516	0.539	0.044	0.177	0.00108559186415243	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0701939750824668	0.00429694256896345	0.00203387450029522	0.483480971167309	0.0206747878778994	0.00169598341556084	0.909564051215614	0.00616517846851278
Verrucomicrobiales	1.86	1.218	1.615	1.282	0.633	0.716	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.00167376238091722	0.99995620847492	0.00122541914022527	0.0377467552367895	0.972190562078386	2.06666727611131e-10
Erysipelotrichales	1.642	0.458	1.576	0.618	0.319	0.468	4.43093964676068e-17	0.805556023123731	2.80886425230165e-14	7.34856619999391e-13	0.316029477166573	6.05983392802248e-05	2.92442016686205e-16	0.99995620847492	2.27151630838307e-13	9.70010738399196e-12	0.972190562078386	0.000142838942589101
Chlorobiales	0.619	0.394	0.432	0.493	0.081	0.224	5.54057631544163e-06	0.0779371568919025	5.8588870383014e-06	0.0169142412057343	0.611722910229037	7.99016821166957e-08	1.56638872721246e-05	0.340273774879003	2.03519233962049e-05	0.0272278029165478	0.995692413269522	2.92972834427884e-07
Pseudomonadales	1.051	0.449	1.797	0.621	1.055	0.418	8.56624328721602e-11	5.77463632467357e-11	0.999462195220596	5.89973268994015e-06	0.0214567948177396	0.00172126960320685	3.76914704637505e-10	1.27041999142818e-09	0.999462195220596	2.29048445609441e-05	0.838479524436785	0.00291291779004236
Rhodocyclales	0.431	0.352	0.305	0.363	0	0	1.86877164679719e-05	0.189043489522249	1.39965731363878e-05	0.0120586338347644	0.714796272140475	4.60003087241398e-07	4.5681084699487e-05	0.567130468566747	4.19897194091634e-05	0.0204069187972935	0.995692413269522	1.44572398847296e-06
Caulobacterales	0.347	0.357	0.371	0.422	0	0	0.00110938609107012	0.949165699490406	0.00104900881441061	0.00293498646276047	0.979651733394101	3.15643868670117e-11	0.00203387450029522	0.99995620847492	0.00230781939170335	0.00667962436352383	0.995692413269522	4.16649906644554e-10
Planctomycetales	0.362	0.333	0.384	0.41	0.035	0.141	0.00128772824454547	0.95047998833751	0.0012154971107069	0.00333424258529813	0.678587966771055	2.23441485776861e-07	0.00229702876054057	0.99995620847492	0.0025878325582792	0.00687687533217739	0.995692413269522	7.76165161119623e-07
Campylobacterales	1.225	0.504	1.452	0.709	0.25	0.413	9.58204023366344e-11	0.126019894631002	1.59742474803437e-09	1.94562255195763e-10	0.393639871005125	6.35183615093422e-07	3.95259159638617e-10	0.450528188267874	7.53071666930489e-09	1.37983844350487e-09	0.972190562078386	1.90555084528027e-06
Syntrophobacterales	0.15	0.214	0.202	0.343	0	0	0.0223351586975876	0.548474848470092	0.0500714117532102	0.0183322157230369	0.957816991851518	0.00176684234469837	0.0327582327564618	0.99995620847492	0.0751071176298153	0.0288077675647723	0.995692413269522	0.00291528986875232
