Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Jonesia	0.0378354492765378	0	0	0.121971384554119	0.190627503089529	0.348955098118445	1	0.0437910971415407	0.141747458218864	0.232697180461404	0.931405726478204	0.579437786381862	1	0.968883404849752	0.231793715871576
Candidatus_Desulforudis	0.0735144815777446	0.130009553295333	0	0.0445603536866554	0.25206185086366	0.229682259468322	0.0356447641276878	0.920896317095042	0.00225668243167131	0.11809591272621	0.999997462702707	0.47680015332079	0.13997724891019	0.982598569720883	0.00714173616611274
Chlamydophila	0.00221933240863279	0.0119729127259665	0	0.349451660520062	0.360018958244951	0.966820254975314	0.486522751568129	0.167173040106733	0.999858884607979	0.447938358214809	0.999997462702707	0.994549325385696	0.707430379307171	0.968883404849752	0.999992249420043
Polaribacter	0.153132446304074	0.187053588387017	0	0.0378950469596647	0.789519844706815	0.0522590987133682	0.0389520293396018	0.471778285761589	0.000610315522643999	0.107193926950644	0.999997462702707	0.184581360327812	0.149888880568146	0.973603481291872	0.00252576731678824
Hahella	0.0317714699628612	0.0710170600650961	0	0.279940437205198	0.435885675260524	0.708035093552388	0.282964093863234	0.349821400630328	0.0162760108242296	0.381480846358882	0.999997462702707	0.839668427938528	0.524947181029034	0.968883404849752	0.0380942415471609
Jannaschia	0.0299835756862199	0.0401751233618883	0	0.525124359838468	0.9094644960514	0.596938135259521	0.504863519681283	0.513175608646469	0.451092688641974	0.586134658906837	0.999997462702707	0.7538796168301	0.724310862902748	0.973603481291872	0.608240266890682
Actinobacillus	0.129331489032279	0.173646566264341	0	0.0349534126859877	0.601619388809885	0.069376991330798	0.0294897572125565	0.0222407373263578	0.00262565844468015	0.101101806586351	0.999997462702707	0.223501924167481	0.119462208689387	0.968883404849752	0.00807202424707384
Thioflavicoccus	0.203747261278219	0.0964671443563594	0	0.00317009803414843	0.102652160405684	0.00650787940906006	0.418215929621325	0.178766790880724	3.90841125344521e-05	0.0149606380909812	0.700469581283451	0.0362320228608605	0.659824545854172	0.968883404849752	0.000259595710414015
Polaromonas	0.102165457423754	0.082735969392559	0.0280178735391477	0.277599858755334	0.85968104109052	0.253824627094332	0.572989761657879	0.598001403763228	0.0128675506321256	0.381075625907779	0.999997462702707	0.501218306182642	0.778455787302875	0.973603481291872	0.0307677432892602
Taylorella	0.0541679676102768	0.0495372312594946	0	0.316080553979078	0.985349825975287	0.284471676801558	0.457844168212878	0.278196852883586	0.000236552709709318	0.416792495197902	0.999997462702707	0.529570111139232	0.681373525382897	0.968883404849752	0.00118939586751041
